,Case_Number,date_cn,Type,Activity,Country,Area,Location,Sex,Age,Injury,Fatal_(Y/N),Time,Species,original_order
151,2015.09.00,2015-09-01,UNPROVOKED,SPEARFISHING,FIJI,,,M,,Leg bitten,N,,TIGER SHARK,5841
152,2015.08.29.b,2015-08-29,UNPROVOKED,SURFING,USA,California,"Morro Strand State Beach, San Luis Obispo County",F,54.0,"No injury, surfboard bitten",N,10h25,"WHITE SHARK, 11' TO 12'",5840
153,2015.08.29.a,2015-08-29,UNPROVOKED,SURFING,USA,California,"Morro Bay, San Luis Obispo County",M,21.0,"No injury, shark struk sufer's leg and his board",N,10h00,"WHITE SHARK, 10' TO 12'",5839
154,2015.08.22.b,2015-08-22,INVALID,,USA,Florida,"Cocoa Beach, Brevard  County",M,,Wound to right lower leg,N,19h45,SHARK INVOLVEMENT NOT CONFIRMED,5838
155,2015.08.22.a,2015-08-22,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,Lighthouse Beach,M,38.0,Severe laceration to left buttock & thigh,N,17h10,,5837
156,2015.08.20,2015-08-20,UNPROVOKED,SURFING,USA,South Carolina,"Murrells Inlet, Georgetown County",M,15.0,"Injuries to left calf, arm and hand",N,12h30,4' SHARK,5836
157,2015.08.19,2015-08-19,UNPROVOKED,WALKING,USA,Florida,"Jacksonville Beach, Duval County",F,10.0,Lacerations to right leg,N,15h30,3' SHARK,5835
158,2015.08.18.b,2015-08-18,UNPROVOKED,KAYAK FISHING,USA,California,Santa Barbara County,M,22.0,"No injury, kayak bitten",N,07h30,"WHITE SHARK, 13'",5834
159,2015.08.18.a,2015-08-18,INVALID,SWIMMING,SPAIN,Alicante,"Poniente Beach, Benidorm",M,10.0,Minor injury when he attempted to touch a fish. ,N,11h00,SHARK INVOLVEMENT NOT CONFIRMED,5833
160,2015.08.10,2015-08-10,PROVOKED,SPEARFISHING,USA,California,Cortes Bank,M,57.0,Right hand bitten  PROVOKED INCIDENT,N,08h00,HAMMERHEAD SHARK. 6' TO 7',5832
161,2015.07.31,2015-07-31,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,Evans Head,M,52.0,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,06h00,WHITE SHARK,5831
162,2015.07.26.b,2015-07-26,UNPROVOKED,SURFING,USA,Florida,"Daytona Beach, Volusia County",M,25.0,Minor injury to sole of foot,N,19h00,"BLACKTIP OR SPINNER SHARK, 4'",5830
163,2015.07.26.a,2015-07-26,INVALID,FLOATING,USA,South Carolina,"Edisto Beach, Colleton County",F,35.0,"2' cut to dorsum of foot, 2 puncture wounds to sole",N,10h10,"THOUGHT TO INVOLVE A 3' TO 4' SHARK, BUT SHARK INVOLVEMENT NOT CONFIRMED",5829
164,2015.07.25,2015-07-25,UNPROVOKED,SCALLOP DIVING ON HOOKAH,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",M,46.0,FATAL,Y,10h00,WHITE SHARK,5828
165,2015.07.23.b,2015-07-23,PROVOKED,KAYAK FISHING,USA,California,"La Jolla, San Diego County",M,31.0,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N,,"MAKO SHARK, 100-LB",5827
166,2015.07.23.a,2015-07-23,UNPROVOKED,SURFING,AUSTRALIA,Victoria,Tyrendarra Beach near Portland,M,,Left hand bitten,N,,"BRONZE WHALER SHARK, 1.5M",5826
167,2015.07.22,2015-07-22,UNPROVOKED,SURFING,REUNION,,St. Leu,M,45.0,Arm bitten,N,,"BULL SHARK, 2M",5825
168,2015.07.19,2015-07-19,UNPROVOKED,SURFING,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,M,34.0,No injury,N,,WHITE SHARK,5824
169,2015.07-10,2015-07-10,UNPROVOKED,SURFING,USA,California,"Huntington Beach, Orange County",M,38.0,"No injury, shark bumped & damaged board",N,08h45,"WHITE SHARK, 7'",5823
170,2015.07.08,2015-07-08,INVALID,TREADING WATER,USA,California,"Huntington Beach, Orange County",M,39.0,Laceration to back,N,,SHARK INVOLVEMENT NOT COFIRMED,5822
171,2015.07.06,2015-07-06,INVALID,SWIMMING,FRENCH POLYNESIA,Bora Bora,,M,,Parallel lacerations to torso inconsistent with shark bite,N,,NO SHARK INVOLVEMENT,5821
172,2015.07.04.b,2015-07-04,UNPROVOKED,SPEARFISHING,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport",F,23.0,Lacerations to lower leg & ankle,N,,6' SHARK,5820
173,2015.07.04.a,2015-07-04,UNPROVOKED,,USA,North Carolina,"Off Surf City, Pender County",M,32.0,Lacerations to right hand & forearm,N,Evening,,5819
174,2015.07.03,2015-07-03,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,Lennox Head,M,52.0,"No injury, shark bit surfboard",N,09h00,WHITE SHARK,5818
175,2015.07.02,2015-07-02,UNPROVOKED,BODY BOARDING,AUSTRALIA,New South Wales,East Ballina,M,32.0,Significant injuries to lower legs,N,09h00,WHITE SHARK,5817
176,2015.07.01,2015-07-01,UNPROVOKED,SWIMMING,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",M,68.0,"Injuries to torso, hip, lower leg & hands",N,12h10,6' TO 7' SHARK,5816
177,2015.06.30.b,2015-06-30,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,"Flat Rock, Yamba",M,,Hand bitten,N,,,5815
178,2015.06.30.a,2015-06-30,UNPROVOKED,PLAYING IN THE WATER,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",M,12.0,Shallow lacerations & puncture to lateral left leg,N,18h05,4' TO 5' SHARK,5814
179,2015.06.27.b,2015-06-27,UNPROVOKED,SWIMMING,USA,North Carolina,"Rodanthe, Dare County",M,18.0,"Injuries to right calf, buttock and both hands",N,16h00,BULL SHARK,5813
180,2015.06.27.a,2015-06-27,UNPROVOKED,BODY BOARDING,SOUTH AFRICA,Western Cape Province,Buffels Bay near Knysna,M,19.0,"Right leg severed, multiple lacerations to left leg",N,14h40,WHITE SHARK,5812
181,2015.06.26.c,2015-06-26,INVALID,SWIMMING,USA,Florida,"Jacksonville Beach, Duval County",F,,Minor lacerations to leg,N,19h30,SHARK INVOLVEMENT NOT CONFIRMED,5811
182,2015.06.26.b,2015-06-26,UNPROVOKED,SURFING,SOUTH AFRICA,Western Cape Province,"Lookout Beach, Plettenberg Bay",M,23.0,Multiple lacerations to torso & leg,N,16h00,"WHITE SHARK, 2M TO 3 M",5810
183,2015.06.26.a,2015-06-26,UNPROVOKED,STANDING,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",M,43.0,Puncture wounds to foot,N,11h00,4' SHARK,5809
184,2015.06.25.R,2015-06-25,PROVOKED,SWIMMING,AUSTRALIA,Western Australia,Rottnest Island,M,19.0,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N,,WOBBEGONG SHARK,5808
185,2015.06.25,2015-06-25,UNPROVOKED,BODY SURFING?,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",M,47.0,Multiple lacerations to back,N,11h41,,5807
186,2015.06.24.b,2015-06-24,UNPROVOKED,SWIMMING,USA,North Carolina,Surf City,M,6.0,Minor injury to foot,N,12h25,SANDTIGER SHARK,5806
187,2015.06.24.a,2015-06-24,INVALID,SURFING,AUSTRALIA,Western Australia,Denmark,F,37.0,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N,09h30,WHITE SHARK,5805
188,2015.06.23,2015-06-23,UNPROVOKED,STANDING,USA,South Carolina,"St. Helena Island, Beaufort County",M,9.0,Minor injury to calf ,N,,SMALL SHARK,5804
189,2015.06.19,2015-06-19,UNPROVOKED,SPEARFISHING,PUERTO RICO,,Off Cabo Rojo,M,36.0,Injury to hand,N,Morning,,5803
190,2015.06.17,2015-06-17,UNPROVOKED,SWIMMING,USA,Florida,Daytona Beach Shores,M,10.0,Minor injury to calf ,N,13h00,,5802
191,2015.06.14.b,2015-06-14,UNPROVOKED,WADING,USA,North Carolina,"Oak Island, Brunswick County",M,16.0,Arm amputated below shoulder,N,17h51,BULL SHARK,5801
192,2015.06.14.a,2015-06-14,UNPROVOKED,WADING,USA,North Carolina,"Oak Island, Brunswick County",F,12.0,Left arm amputated at elbow & severe injury to leg,N,16h12,BULL SHARK,5800
193,2015.06.13,2015-06-13,UNPROVOKED,,USA,California,Off San Diego,F,,Severe laceration to leg,N,,MAKO SHARK,5799
194,2015.06.11,2015-06-11,UNPROVOKED,BOOGIE BOARDING,USA,North Carolina,"Ocean Isle, Brunswick County",F,13.0,Minor lacerations to foot,N,12h45,4' SHARK,5798
195,2015.06.07,2015-06-07,UNPROVOKED,PLAYING,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",M,11.0,Lacerations to right calf,N,10h50,"BULL SHARK, 5'",5797
196,2015.06.05,2015-06-05,UNPROVOKED,ATTEMPTING TO RESCUE A SHARK,USA,Florida,Fort Lauderdale,F,17.0,Puncture wound to finger,N,,SMALL NURSE SHARK,5796
197,2015.06.01,2015-06-01,UNPROVOKED,SURFING,REUNION,Le Port,Folette,M,47.0,Left forearm bitten,N,15h00,"BULL SHARK, 2.5 M",5795
198,2015.05.29.b,2015-05-29,UNPROVOKED,STANDING,USA,Florida,"Cocoa Beach, Brevard  County",F,14.0,Left foot bitten,N,15h00,,5794
199,2015.05.29.a,2015-05-29,UNPROVOKED,WADING,USA,Florida,"New Smyrna Beach, Volusia County",F,19.0,Minor lacerations to dorsum of right foot,N,13h45,,5793
200,2015.05.25,2015-05-25,UNPROVOKED,SPEARFISHING,FRENCH POLYNESIA,Rangiroa,Avatoru Pass,M,19.0,Lacerations to right forearm,N,08h00,1M TO 1.2 M SHARK,5792
201,2015.05.24,2015-05-24,UNPROVOKED,SWIMMING,USA,Florida,"Cocoa Beach, Brevard  County",F,13.0,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N,,,5791
202,2015.05.20,2015-05-20,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,18.0,2 puncture wounds to  dorsum of left foot,N,10h30,5' SHARK,5790
203,2015.05.15,2015-05-15,UNPROVOKED,,USA,South Carolina,Sullivan's Island,M,30.0,Laceration to foot ,N,14h15,6' SHARK,5789
204,2015.05.09,2015-05-09,UNPROVOKED,SNORKELING,NEW CALEDONIA,,Kouare ,M,50.0,FATAL,Y,,"BULL SHARK, 3.5 M",5788
205,2015.05.07,2015-05-07,UNPROVOKED,SWIMMING,USA,Florida,"Cocoa Beach, Brevard  County",M,,"Lacerations to lower left leg, ankle & foot",N,15h00,,5787
206,2015.05.03,2015-05-03,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,Saltwater Beach,M,,Injuries to left arm & right hand,N,15h00,WHITE SHARK,5786
207,2015.05.02,2015-05-02,UNPROVOKED,DIVING,SOUTH AFRICA,Eastern Cape Province,Port St. John's,M,29.0,"Injuries to leg, left arm & both hands",N,13h00,"WHITE SHARK, 3.5 M",5785
208,2015.04.29,2015-04-29,UNPROVOKED,SNORKELING,USA,Hawaii,Kanahena Cove ,F,65.0,FATAL,Y,09h00,,5784
209,2015.04.26,2015-04-26,UNPROVOKED,WADING,USA,Florida,"Resident's Beach, Marco Island",M,63.0,Lacerations to left calf,N,16h30,3- TO 4-FOOT SHARK,5783
210,2015.04.25,2015-04-25,UNPROVOKED,SURFING,AUSTRALIA,South Australia,Fishery Bay,M,26.0,Leg severed at mid-thigh,N,09h45,"WHITE SHARK, 6 M",5782
211,2015.04.24.c,2015-04-24,UNPROVOKED,SURF SKIING,AUSTRALIA,New South Wales,"Belongil Beach, Byron Bay",M,71.0,"No injury, knocked off ski",N,11h00,"WHITE SHARK, 3 M",5781
212,2015.04.13,2015-04-13,UNPROVOKED,PHOTOGRAPHING THE SHARK,USA,Florida,"Florida Keys, Monroe County",M,48.0,Lacerations to shoulder and left bicep,N,,"BLUE SHARK, 8 TO 9 FEET",5780
213,2015.04.11,2015-04-11,UNPROVOKED,PADDLE BOARDING,AUSTRALIA,New South Wales,McKenzies Beach,M,,Ankle injured,N,07h30,,5779
214,2015.04.12,2015-04-12,UNPROVOKED,SURFING,REUNION,Saint-Gilles-les-Bains,Cap Homard,M,13.0,FATAL,Y,09h00,BULL SHARK,5778
215,2015.03.31,2015-03-31,INVALID,SURFING,BRAZIL,Pernambuco,"Praia del Chifre, Olinda",M,23.0,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,N,11h00,NO SHARK INVOLVEMENT,5777
216,2015.04.03,2015-04-03,UNPROVOKED,SPEARFISHING,USA,Florida,"3 miles off Jupiter, Palm Beach County",M,70.0,Injuries to head & torso,N,Afternoon,BULL SHARK,5776
217,2015.03.29,2015-03-29,INVALID,DIVING,ITALY,Sardinia,,M,43.0,"FATAL, but shark involvement prior to death unconfirmed",Y,,SHARK INVOLVEMENT NOT COFIRMED,5775
218,2015.03.26,2015-03-26,BOATING,KAYAK FISHING,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,M,36.0,No injury but kayak bitten,N,,"WHITE SHARK, 4 M",5774
219,2015.03.21,2015-03-21,UNPROVOKED,SWIMMING,EGYPT,,Marsa Alam,M,52.0,FATAL,Y,,MAKO SHARK,5773
220,2015.03.18,2015-03-18,UNPROVOKED,STANDING / SNORKELING,USA,Hawaii,Hapuna Beach,M,58.0,Lacerations to left forearm. Lacerations to left hand and thigh,N,11h45,"TIGER SHARK, 8 TO 12 FEET",5772
221,2015.03.16,2015-03-16,UNPROVOKED,HAND FEEDING SHARKS,FRENCH POLYNESIA,Bora Bora,Anau,M,9.0,Hand bitten,N,10h00,BLACKTIP SHARK,5771
222,2015.03.11,2015-03-11,BOATING,FISHING,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay",M,,Bruised in falling overboard as shark bumped boat,N,Morning,,5770
223,2015.03.10,2015-03-10,PROVOKED,FISHING,MEXICO,Sinaloa,Mazlatan,M,36.0,Right hand bitten by hooked shark PROVOKED INCIDENT,N,10h20,,5769
224,2015.03.07,2015-03-07,UNPROVOKED,SITTING IN THE WATER,FRENCH POLYNESIA,Central Tuamotu,"Tupapati, Hikueru Atoll",M,,Thigh bitten,N,,BLACKTIP REEF SHARK,5768
225,2015.02.15,2015-02-15,BOATING,TRANSATLANTIC ROWING,ATLANTIC OCEAN,,,,,"No injury, shark bit rudder",N,,WHITE SHARK,5767
226,2015.02.14,2015-02-14,UNPROVOKED,SWIMMING,REUNION,d’Étang-Salé,Ravine Mula,F,22.0,FATAL,Y,18h30,"TIGER SHARK, 3.5 M",5766
227,2015.02.09,2015-02-09,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,Shelly Beach,M,41.0,FATAL,Y,10h00,3.5 TO 4 M SHARK,5765
228,2015.02.08,2015-02-08,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay",M,35.0,Laceration & puncture wounds to right flank & hip,N,06h45,2 M TO  3 M SHARK,5764
229,2015.02.05,2015-02-05,UNPROVOKED,BODYSURFING,AUSTRALIA,New South Wales,Mereweather Beach,M,,5 minor puncture wounds to lower left leg,N,,1.8 M SHARK,5763
230,2015.01.30,2015-01-30,BOATING,ROWING,AUSTRALIA,Queensland,"Nerang River, Surfer's  Paradise",M,57.0,"No injury, shark's teeth scratched hull",N,05h00,"BULL SHARK, 1.3 M",5762
231,2015.01.27,2015-01-27,PROVOKED,SHARK FISHING,USA,Hawaii,Lahaina,M,20.0,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,03h30,4' SHARK,5761
232,2015.01.24,2015-01-24,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,Flat Rock,M,,"No injury, surfboard dented",N,,,5760
233,2015.01.19.b,2015-01-19,BOATING,FISHING,USA,Florida,Off Panama City,M,,No injury but shark bit trolling motor & rammed boat,N,,WHITE SHARK,5759
234,2015.01.19.a,2015-01-19,INVALID,SURFING & FILMING DOLPHINS,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",F,,Board snapped in two,N,,SHARK INVOLVEMENT NOT CONFIRMED,5758
235,2015.01.17,2015-01-17,BOATING,FISHING,AUSTRALIA,New South Wales,Off Blacksmith Beach,M,,"Shark bumped boat, no injury to occupants",N,13h45,5 M SHARK,5757
236,2015.01.16,2015-01-16,UNPROVOKED,FILMING,AUSTRALIA,New South Wales,"Mollymook Beach, Bannister Head",M,17.0,Bitten on hand & wrist,N,,1.5 M SHARK,5756
237,2015.01.08,2015-01-08,INVALID,SWIMMING AFTER FALLING OVERBOARD,USA,Florida,,M,38.0,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",N,Night,NO SHARK INVOLVEMENT,5755
238,2015.01.06,2015-01-06,UNPROVOKED,SNORKELING,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",F,34.0,Severe bite to right flank,N,16h00,WHITE SHARK OR OCEANIC WHITETIP SHARK,5754
239,2015.01.03,2015-01-03,UNPROVOKED,SURFING,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach,M,15.0,"Lacerations to lower left leg, puncture wounds to sole of left foot",N,08h00,"RAGGEDTOOTH SHARK, 1.3 M",5753
240,2015.01.01,2015-01-01,UNPROVOKED,,USA,Florida,"Windsor Beach, Indian River County",M,12.0,Leg bitten,N,Afternoon,"""A SMALL SHARK""",5752
241,2014.12.29.b,2014-12-29,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,Bherwerre Beach,,,Lacerations to both feet,N,Morning,2 M SHARK,5751
242,2014.12.29.a,2014-12-29,UNPROVOKED,SPEARFISHING,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach,M,17.0,FATAL,Y,Morning,"WHITE SHARK, 4 TO 5 M",5750
243,2014.12.28.d,2014-12-28,SEA DISASTER,,GREECE,,33 nautical miles off Othonoi Island,,,"Of 9 bodies recovered, one was bitten by a shark",N,,SHARK INVOLVEMENT PRIOR TO DEATH STILL TO BE DETERMINED,5749
244,2014.12.28.c,2014-12-28,INVALID,SWIMMING,SOUTH AFRICA,KwaZulu-Natal,Durban,,,Minor cuts on feet,N,Morning,SHARK INVOLVEMENT NOT CONFIRMED & HIGHLY UNLIKELY,5748
245,2014.12.28.b,2014-12-28,UNPROVOKED,SURFING,USA,California,"Montaña de Oro State Park, San Luis Obispo County ",M,50.0,Injury to hip/leg,N,11h30,"WHITE SHARK, 8' TO 10'",5747
246,2014.12.28.a,2014-12-28,PROVOKED,FISHING,AUSTRALIA,Victoria,Paradise Beach,M,,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,N,Morning,1.5 M SHARK,5746
247,2014.12.23.R,2014-12-23,UNPROVOKED,DIVING / FILMING,JAPAN,,,M,,"No injury, shark snagged its teeth in diver's suit",N,,GOBLIN SHARK,5745
248,2014.12.15,2014-12-15,UNPROVOKED,SPEARFISHING,AUSTRALIA,Queensland,Rudder Reef,M,17.0,FATAL,Y,11h30,,5744
249,2014.12.03.R,2014-12-03,PROVOKED,FISHING FOR BLUE SHARKS,SPAIN,Granada,Off Motril,M,,Glancing bite to wrist from netted shark PROVOKED INCIDENT,N,07h00,,5743
250,2014.11.29,2014-11-29,UNPROVOKED,SURFING,AUSTRALIA,Western Australia,"Pyramids Beach, Port Bouvard",M,13.0,Minor injuries to right leg,N,Sometime between 06h00 & 08hoo,,5742
251,2014.11.20,2014-11-20,PROVOKED,FISHING,MAURITIUS,Cargados Carajos Shoals (St. Brandon),,M,39.0,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",Y,,,5741
252,2014.11.19,2014-11-19,BOATING,FISHING,AUSTRALIA,Western Australia,Freo,M,,"Shark chasing fish bumped boat, no injury to occupants",N,,WHITE SHARK,5740
253,2014.11.16,2014-11-16,UNPROVOKED,SURFING,USA,Florida,"Indian Harbor Beach, Brevard County",M,44.0,Laceration to left hand,N,13h00,2' SHARK,5739
254,2014.11.17,2014-11-17,BOATING,,USA,California,"Franklin Point, San Mateo County",,,"Shark bumped boat, no injury to occupants",N,,WHITE SHARK,5739
255,2014.11.13,2014-11-13,UNPROVOKED,SNORKELING,USA,Hawaii,"Airplane Beach, Lahina, West Maui",M,53.0,Laceration to left upper leg,N,13h30,1.5 M SHARK,5738
256,2014.11.10,2014-11-10,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,Moonee Beach,M,,Minor injury to lower leg and foot,N,06h30,,5737
257,2014.11.08,2014-11-08,UNPROVOKED,SURFING,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",M,18.0,Minor injuries to hand & arm ,N,16h30,,5736
258,2014.10.31,2014-10-31,UNPROVOKED,SURFING,USA,Hawaii,"North Kohala, Hawaii County",F,34.0,Lacerations to fingers,N,11h00,"TIGER SHARK, 12'",5735
259,2014.10.30,2014-10-30,PROVOKED,SURFING,AUSTRALIA,New South Wales,Wallabi Point,M,20.0,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,N,18h00,,5734
260,2014.10.22,2014-10-22,UNPROVOKED,STAND-UP PADDLEBOARDING,USA,Hawaii,"Kihei, Maui",F,,"No injury, paddleboard bitten",N,10h00,TIGER SHARK,5733
261,2014.10.20,2014-10-20,UNPROVOKED,STAND-UP PADDLEBOARDING,USA,Hawaii,"Kahului, Maui",M,,"No injury, paddleboard bitten",N,08h00,,5732
262,2014.10.19,2014-10-19,BOATING,CANOEING,USA,California,"Leadbetter Beach, Santa Barbara County",F,,"No injury to occupant, canoe bitten",N,,,5731
263,2014.10.18,2014-10-18,UNPROVOKED,SURFING,USA,Hawaii,"Maalaea, South Maui",M,,"No injury, surfboard bitten",N,11h15,12' TO 14' SHARK,5730
264,2014.10.17,2014-10-17,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,Avoca Beach,F,13.0,"Lacerations to left calf & ankle, puncture wounds to left foot",N,06h30,1 M SHARK,5729
265,2014.10.14,2014-10-14,UNPROVOKED,STANDING IN INNER TUBE,USA,South Carolina,"Hilton Head Island, Beaufort County",F,7.0,Lacerations to left foot,N,,"BULL SHARK, 3' TO 4'",5728
266,2014.10.12,2014-10-12,UNPROVOKED,BODY SURFING OR BOOGIE BOARDING,USA,Florida,"Melbourne Beach, Brevard County",F,,Laceration to right hand/wrist,N,15h30,,5727
267,2014.10.07,2014-10-07,UNPROVOKED,FISHING,USA,Florida,"Cherie Down Park, Brevard County",F,40.0,Thigh bitten,N,Afternoon,,5726
268,2014.10.11,2014-10-11,BOATING,KAYAKING,AUSTRALIA,Western Australia,"Castle Rock, north of Dunsborough",M,,"Kayak deflated, no injury to occupants",N,17h20,,5725
269,2014.10.05.b,2014-10-05,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,29.0,Foot bitten,N,11h30,BLACKTIP SHARK,5723
270,2014.10.05.a,2014-10-05,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,15.0,Foot bitten,N,11h00,BLACKTIP SHARK,5722
271,2014.10.03.b,2014-10-03,BOATING,KAYAKING,USA,California,Santa Barbara County,M,,"No injury to occupant, shark/s holded  kayak",N,14h00,"WHITE SHARK, 18' TO 20'",5721
272,2014.10.03.a,2014-10-03,BOATING,KAYAKING,USA,California,Santa Barbara County,M,,"No injury to occupant, shark/s holded  kayak",N,11h30,WHITE SHARK,5720
273,2014.10.02.b,2014-10-02,UNPROVOKED,SURFING,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",M,28.0,Lacerations to knee,N,17h30,8' TO 10' SHARK,5719
274,2014.10.02.a,2014-10-02,UNPROVOKED,SURFING,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",M,23.0,"Left arm & right hand severed, lacerations to both legs",N,11h00,"2 WHITE SHARK: 13' & 9""8""",5718
275,2014.09.21,2014-09-21,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,,Minor injury to left foot,N,11h30,,5717
276,2014.09.13.R,2014-09-13,UNPROVOKED,FEEDING FISH,FRENCH POLYNESIA,Moorea,Tiahura Lagoon,F,36.0,Thumb & finger nipped,N,,BLACKTIP SHARK,5716
277,2014.09.13,2014-09-13,INVALID,SURFING,USA,California,"Manresa State Beach, Santa Cruz County",M,,"A hoax, no shark involvement",N,18h45,NO SHARK INVOLVEMENT,5715
278,2014.09.09,2014-09-09,UNPROVOKED,SWIMMING,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",M,50.0,FATAL,Y,10h45,7' SHARK,5714
279,2014.09.06,2014-09-06,UNPROVOKED,FISHING,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",M,43.0,Leg bitten,N,13h00,BULL SHARK,5713
280,2014.09.03,2014-09-03,UNPROVOKED,KAYAKING,USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County",F,,"No injury, shark bit kayak",N,18h00,"WHITE SHARK, 12' TO 14'",5712
281,2014.09.02,2014-09-02,PROVOKED,FISHING,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",M,52.0,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N,20h00,3' TO 4' SHARK,5711
282,2014.09.00,2014-09-01,UNPROVOKED,PLAYING WITH AN AIR MATTRESS,SPAIN,Catalonia,Salou,M,16.0,Lacerations to right hand,N,,,5710
283,2014.08.31,2014-08-31,UNPROVOKED,BODY SURFING,USA,Florida,"New Smyrna Beach, Volusia County",F,13.0,Injury to left calf,N,16h40,SPINNER SHARK,5709
284,2014.08.29.b,2014-08-29,UNPROVOKED,SURFING,USA,Florida,"Ponce Inlet, Volusia County",M,17.0,Lacerations to shin,N,,SPINNER SHARK OR BLACKTIP SHARK,5708
285,2014.08.29.a,2014-08-29,INVALID,,USA,Florida,"Atlantic Beach, Duval County",,,Shark involvement not confirmed,N,16h18,SHARK INVOLVEMENT NOT CONFIRMED,5707
286,2014.08.28,2014-08-28,PROVOKED,FISHING,USA,Maryland,Assateague National Seashore,M,33.0,Lacerations to foot by hooked shark PROVOKED INCIDENT,N,,,5706
287,2014.08.27.c,2014-08-27,UNPROVOKED,SWIMMING,SPAIN,Alicante,Benidorm,F,,Minor lacerations to posterior lower leg,N,,SMALL SHARK,5705
288,2014.08.27.b,2014-08-27,UNPROVOKED,SURFING,USA,North Carolina,"Figure Eight Island,  New Hanover County",M,29.0,Laceration to left hand,N,,4' TO 6' SHARK,5704
289,2014.08.27.a,2014-08-27,UNPROVOKED,STANDING,USA,South Carolina,"Surfside Beach, Horry  County",F,,Heel bitten,N,15h00,,5703
290,2014.08.25,2014-08-25,PROVOKED,FISHING FOR SHARKS,USA,Florida,Apalachicola Bay ,M,,Lacerations to forearm from hooked shark PROVOKED INCIDENT,N,,"BULL SHARK, 4.5'",5702
